id,mean_temp_celsius,gender,pr_correct,tr_correct,ch_tournament,ch_correct,version,treatment
001024013,29.1957142857143,Female,6,7,0,6,A,0
001024014,29.1957142857143,Female,3,5,0,4,A,0
001024015,29.1957142857143,Female,7,6,0,8,A,0
001024016,29.1957142857143,Female,4,8,0,2,A,0
001025001,26.8415384615385,Female,4,7,1,3,A,0
001025002,26.8415384615385,Male,5,8,0,5,A,0
001025005,26.8415384615385,Male,7,7,1,8,A,0
001025006,26.8415384615385,Male,3,4,0,2,A,0
001025009,26.8415384615385,Male,8,9,1,9,A,0
001025013,26.8415384615385,Female,6,7,1,7,A,0
001027001,32.2428571428571,Female,4,7,0,7,A,1
001027002,32.2428571428571,Female,6,6,0,3,A,1
001027003,32.2428571428571,Female,4,5,1,4,A,1
001027004,32.2428571428571,Female,7,7,0,6,A,1
001027005,32.2428571428571,Male,5,6,1,2,A,1
001027006,32.2428571428571,Female,6,6,0,5,A,1
001027007,32.2428571428571,Female,3,7,1,3,A,1
001027008,32.2428571428571,Male,4,6,1,3,A,1
001027009,32.2428571428571,Male,7,7,0,7,A,1
001027010,32.2428571428571,Male,7,8,0,7,A,1
001027011,32.2428571428571,Male,6,8,1,3,A,1
001027012,32.2428571428571,Male,6,7,1,9,A,1
001027013,32.2428571428571,Male,6,6,0,7,A,1
001027014,32.2428571428571,Male,3,5,0,3,A,1
001027015,32.2428571428571,Female,8,7,0,8,A,1
001027016,32.2428571428571,Female,6,7,0,6,A,1
001022001,31.1417910447761,Female,8,8,1,7,B,1
001022002,31.1417910447761,Female,7,8,1,8,B,1
001022003,31.1417910447761,Male,6,6,1,9,B,1
001022004,31.1417910447761,Male,5,7,1,9,B,1
001022005,31.1417910447761,Female,5,5,1,5,B,1
001022006,31.1417910447761,Male,8,6,0,6,B,1
001022007,31.1417910447761,Female,5,6,1,6,B,1
001022009,31.1417910447761,Female,3,5,0,3,B,1
001022010,31.1417910447761,Male,5,7,0,8,B,1
001022011,31.1417910447761,Female,6,8,1,7,B,1
001022013,31.1417910447761,Female,3,6,0,3,B,1
001022014,31.1417910447761,Female,5,8,1,9,B,1
001022015,31.1417910447761,Male,7,6,0,7,B,1
001022016,31.1417910447761,Female,5,7,0,4,B,1
001023001,32.3,Male,5,7,1,8,B,1
001023002,32.3,Female,4,7,0,8,B,1
001023003,32.3,Male,8,7,1,7,B,1
001023005,32.3,Female,6,5,0,6,B,1
001023006,32.3,Male,5,6,1,6,B,1
001023009,32.3,Male,7,9,0,7,B,1
001023010,32.3,Female,6,5,0,7,B,1
001023011,32.3,Male,5,6,0,4,B,1
001023013,32.3,Male,5,7,0,7,B,1
001023014,32.3,Female,4,7,1,6,B,1
001026001,30.4813333333333,Male,5,7,0,5,B,1
001026002,30.4813333333333,Female,5,7,1,7,B,1
001026003,30.4813333333333,Male,5,8,0,7,B,1
001026004,30.4813333333333,Male,5,7,0,8,B,1
001026005,30.4813333333333,Female,4,4,1,6,B,1
001026006,30.4813333333333,Male,5,6,0,6,B,1
001026007,30.4813333333333,Female,3,5,0,3,B,1
001026009,30.4813333333333,Female,6,8,1,6,B,1
001026010,30.4813333333333,Male,6,5,0,3,B,1
001026011,30.4813333333333,Male,6,6,1,4,B,1
001026013,30.4813333333333,Female,6,7,0,6,B,1
001026014,30.4813333333333,Female,6,7,0,5,B,1
001026015,30.4813333333333,Male,4,7,0,7,B,1
